time,edge_weight_12,edge_weight_23,edge_weight_34,edge_weight_45,edge_weight_46,edge_weight_37,edge_weight_78,device_1_time,device_2_time,device_3_time,device_4_time,device_5_time,device_6_time,device_7_time,device_8_time
10317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10316,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10315,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
10314,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
10313,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
10312,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
10311,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
10310,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
10309,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
10308,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
10307,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
10306,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
10305,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
10304,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
10303,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
10302,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
10301,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0
10300,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
10299,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
10298,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
10297,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
10296,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
10295,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0
10294,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0
10293,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
10292,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
10291,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
10290,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
10289,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
10288,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
10287,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
10286,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
10285,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
10284,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
10283,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
10282,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0
10281,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0
10280,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
10279,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
10278,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0
10277,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
10276,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
10275,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0
10274,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0
10273,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0
10272,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0
10271,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0
10270,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0
10269,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
10268,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0
10267,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0
10266,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0
10265,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0
10264,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
10263,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
10262,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
10261,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0
10260,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0
10259,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
10258,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0
10257,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0
10256,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0
10255,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0
10254,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0
10253,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
10252,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0
10251,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0
10250,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0
10249,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0
10248,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0
10247,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0
10246,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0
10245,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0
10244,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0
10243,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0
10242,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0
10241,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0
10240,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0
10239,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0
10238,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0
10237,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0
10236,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0
10235,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0
10234,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
10233,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0
10232,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0
10231,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
10230,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0
10229,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0
10228,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0
10227,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
10226,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0
10225,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0
10224,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0
10223,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0
10222,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0
10221,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0
10220,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0
10219,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0
10218,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0
10217,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
10216,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0
10215,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0
10214,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0
10213,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0
10212,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0
10211,0,0,0,0,0,0,0,0,106,0,0,0,0,0,0
10210,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0
10209,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0
10208,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0
10207,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0
10206,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0
10205,0,0,0,0,0,0,0,0,112,0,0,0,0,0,0
10204,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0
10203,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0
10202,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0
10201,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0
10200,0,0,0,0,0,0,0,0,117,0,0,0,0,0,0
10199,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0
10198,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0
10197,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0
10196,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0
10195,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0
10194,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0
10193,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0
10192,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0
10191,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0
10190,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0
10189,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0
10188,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0
10187,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0
10186,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0
10185,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0
10184,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0
10183,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0
10182,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
10181,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0
10180,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0
10179,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0
10178,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0
10177,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0
10176,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0
10175,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0
10174,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0
10173,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0
10172,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0
10171,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0
10170,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0
10169,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0
10168,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0
10167,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
10166,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0
10165,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0
10164,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0
10163,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0
10162,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0
10161,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0
10160,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0
10159,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0
10158,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0
10157,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
10156,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0
10155,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0
10154,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0
10153,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0
10152,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0
10151,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0
10150,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0
10149,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0
10148,0,0,0,0,0,0,0,0,169,0,0,0,0,0,0
10147,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0
10146,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0
10145,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0
10144,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0
10143,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0
10142,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0
10141,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0
10140,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0
10139,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0
10138,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0
10137,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0
10136,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0
10135,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0
10134,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0
10133,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0
10132,0,0,0,0,0,0,0,0,185,0,0,0,0,0,0
10131,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0
10130,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0
10129,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0
10128,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0
10127,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0
10126,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0
10125,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0
10124,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0
10123,0,0,0,0,0,0,0,0,194,0,0,0,0,0,0
10122,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0
10121,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0
10120,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0
10119,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0
10118,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0
10117,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0
10116,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0
10115,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0
10114,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0
10113,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0
10112,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0
10111,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0
10110,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0
10109,0,0,0,0,0,0,0,0,208,0,0,0,0,0,0
10108,0,0,0,0,0,0,0,0,209,0,0,0,0,0,0
10107,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0
10106,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0
10105,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0
10104,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0
10103,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0
10102,0,0,0,0,0,0,0,0,215,0,0,0,0,0,0
10101,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0
10100,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0
10099,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0
10098,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0
10097,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0
10096,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0
10095,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0
10094,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0
10093,0,0,0,0,0,0,0,0,224,0,0,0,0,0,0
10092,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0
10091,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0
10090,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0
10089,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0
10088,0,0,0,0,0,0,0,0,229,0,0,0,0,0,0
10087,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0
10086,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0
10085,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0
10084,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0
10083,0,0,0,0,0,0,0,0,234,0,0,0,0,0,0
10082,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0
10081,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0
10080,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0
10079,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0
10078,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0
10077,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0
10076,0,0,0,0,0,0,0,0,241,0,0,0,0,0,0
